id,numero_ticket,fecha_creacion,fecha_resolucion,categoria_id,tecnico_id,prioridad,estado,descripcion,mttr_horas
1,TKT-000001,2024-10-16T03:01:00,2024-10-20T02:01:00,5,2,Media,Resuelto,Ticket de prueba #1,95
2,TKT-000002,2023-05-23T23:06:00,2023-05-27T14:06:00,9,1,Crítica,Resuelto,Ticket de prueba #2,87
3,TKT-000003,2023-02-02T00:05:00,2023-02-03T04:05:00,4,5,Baja,Resuelto,Ticket de prueba #3,28
4,TKT-000004,2024-07-28T06:45:00,2024-07-31T18:45:00,9,4,Media,Resuelto,Ticket de prueba #4,84
5,TKT-000005,2024-04-04T18:17:00,2024-04-09T02:17:00,1,7,Media,Resuelto,Ticket de prueba #5,104
6,TKT-000006,2024-12-15T13:21:00,2024-12-17T01:21:00,3,2,Alta,Resuelto,Ticket de prueba #6,36
7,TKT-000007,2023-04-15T02:24:00,2023-04-15T15:24:00,6,7,Alta,Resuelto,Ticket de prueba #7,13
8,TKT-000008,2024-09-10T08:51:00,2024-09-10T14:51:00,8,5,Baja,Resuelto,Ticket de prueba #8,6
9,TKT-000009,2024-01-23T02:35:00,2024-01-24T16:35:00,10,7,Alta,Resuelto,Ticket de prueba #9,38
10,TKT-000010,2024-08-14T06:45:00,2024-08-14T15:45:00,1,6,Media,Resuelto,Ticket de prueba #10,9
11,TKT-000011,2023-10-24T02:54:00,2023-10-25T08:54:00,2,4,Alta,Resuelto,Ticket de prueba #11,30
12,TKT-000012,2024-04-09T20:53:00,2024-04-11T19:53:00,3,3,Alta,Resuelto,Ticket de prueba #12,47
13,TKT-000013,2023-08-03T21:17:00,2023-08-07T15:17:00,2,5,Media,Resuelto,Ticket de prueba #13,90
14,TKT-000014,2024-06-30T23:15:00,2024-07-01T20:15:00,8,4,Alta,Resuelto,Ticket de prueba #14,21
15,TKT-000015,2024-10-17T22:35:00,2024-10-19T03:35:00,6,7,Baja,Resuelto,Ticket de prueba #15,29
16,TKT-000016,2023-08-23T01:51:00,2023-08-24T18:51:00,7,3,Baja,Resuelto,Ticket de prueba #16,41
17,TKT-000017,2023-08-05T18:56:00,2023-08-09T14:56:00,6,2,Crítica,Resuelto,Ticket de prueba #17,92
18,TKT-000018,2024-02-10T20:29:00,2024-02-11T15:29:00,5,2,Media,Resuelto,Ticket de prueba #18,19
19,TKT-000019,2024-07-28T17:16:00,2024-08-01T17:16:00,10,4,Crítica,Resuelto,Ticket de prueba #19,96
20,TKT-000020,2024-01-06T07:08:00,2024-01-09T01:08:00,8,1,Baja,Resuelto,Ticket de prueba #20,66
21,TKT-000021,2023-04-23T04:40:00,2023-04-24T01:40:00,7,5,Baja,Resuelto,Ticket de prueba #21,21
22,TKT-000022,2024-01-30T12:38:00,2024-02-02T00:38:00,9,3,Baja,Resuelto,Ticket de prueba #22,60
23,TKT-000023,2024-11-27T23:07:00,2024-12-01T15:07:00,9,7,Alta,Resuelto,Ticket de prueba #23,88
24,TKT-000024,2024-10-18T10:07:00,2024-10-20T00:07:00,7,2,Crítica,Resuelto,Ticket de prueba #24,38
25,TKT-000025,2023-01-04T23:56:00,2023-01-08T20:56:00,5,5,Media,Resuelto,Ticket de prueba #25,93
26,TKT-000026,2024-06-03T03:55:00,2024-06-06T12:55:00,5,7,Media,Resuelto,Ticket de prueba #26,81
27,TKT-000027,2023-06-06T11:48:00,2023-06-07T08:48:00,9,7,Baja,Resuelto,Ticket de prueba #27,21
28,TKT-000028,2024-09-05T10:31:00,2024-09-05T13:31:00,2,3,Alta,Resuelto,Ticket de prueba #28,3
29,TKT-000029,2023-09-03T01:15:00,2023-09-07T18:15:00,10,1,Baja,Resuelto,Ticket de prueba #29,113
30,TKT-000030,2024-05-12T02:48:00,2024-05-14T23:48:00,3,2,Crítica,Resuelto,Ticket de prueba #30,69
31,TKT-000031,2024-07-16T05:16:00,2024-07-19T01:16:00,10,4,Media,Resuelto,Ticket de prueba #31,68
32,TKT-000032,2024-07-06T23:44:00,2024-07-08T01:44:00,5,4,Alta,Resuelto,Ticket de prueba #32,26
33,TKT-000033,2024-03-24T16:28:00,2024-03-25T08:28:00,4,2,Baja,Resuelto,Ticket de prueba #33,16
34,TKT-000034,2023-12-13T00:37:00,2023-12-15T23:37:00,4,5,Media,Resuelto,Ticket de prueba #34,71
35,TKT-000035,2023-01-08T02:45:00,2023-01-11T11:45:00,1,2,Baja,Resuelto,Ticket de prueba #35,81
36,TKT-000036,2023-02-02T10:04:00,2023-02-05T04:04:00,4,3,Crítica,Resuelto,Ticket de prueba #36,66
37,TKT-000037,2023-08-08T17:08:00,2023-08-12T14:08:00,10,5,Crítica,Resuelto,Ticket de prueba #37,93
38,TKT-000038,2023-09-06T15:51:00,2023-09-08T20:51:00,4,1,Baja,Resuelto,Ticket de prueba #38,53
39,TKT-000039,2024-11-05T13:22:00,2024-11-07T20:22:00,7,4,Baja,Resuelto,Ticket de prueba #39,55
40,TKT-000040,2024-11-20T20:41:00,2024-11-21T09:41:00,1,4,Alta,Resuelto,Ticket de prueba #40,13
41,TKT-000041,2023-04-22T07:12:00,2023-04-23T08:12:00,9,4,Media,Resuelto,Ticket de prueba #41,25
42,TKT-000042,2024-03-08T05:17:00,2024-03-10T17:17:00,4,7,Baja,Resuelto,Ticket de prueba #42,60
43,TKT-000043,2024-03-29T17:06:00,2024-03-30T00:06:00,9,7,Baja,Resuelto,Ticket de prueba #43,7
44,TKT-000044,2023-04-06T07:10:00,2023-04-08T12:10:00,8,4,Media,Resuelto,Ticket de prueba #44,53
45,TKT-000045,2024-02-15T01:10:00,2024-02-17T02:10:00,1,4,Alta,Resuelto,Ticket de prueba #45,49
46,TKT-000046,2024-04-10T09:27:00,2024-04-14T03:27:00,9,6,Crítica,Resuelto,Ticket de prueba #46,90
47,TKT-000047,2023-06-08T06:18:00,2023-06-09T10:18:00,1,5,Baja,Resuelto,Ticket de prueba #47,28
48,TKT-000048,2023-11-18T01:03:00,2023-11-21T04:03:00,8,5,Media,Resuelto,Ticket de prueba #48,75
49,TKT-000049,2023-02-28T16:05:00,2023-03-05T05:05:00,3,1,Baja,Resuelto,Ticket de prueba #49,109
50,TKT-000050,2024-11-22T07:25:00,2024-11-22T23:25:00,10,2,Baja,Resuelto,Ticket de prueba #50,16
51,TKT-000051,2024-09-26T02:26:00,2024-09-29T15:26:00,10,5,Alta,Resuelto,Ticket de prueba #51,85
52,TKT-000052,2023-09-25T06:42:00,2023-09-29T02:42:00,6,2,Alta,Resuelto,Ticket de prueba #52,92
53,TKT-000053,2024-02-10T04:42:00,2024-02-13T15:42:00,5,4,Alta,Resuelto,Ticket de prueba #53,83
54,TKT-000054,2023-03-16T00:29:00,2023-03-19T08:29:00,10,1,Baja,Resuelto,Ticket de prueba #54,80
55,TKT-000055,2024-07-04T06:32:00,2024-07-05T16:32:00,3,3,Baja,Resuelto,Ticket de prueba #55,34
56,TKT-000056,2023-09-08T11:18:00,2023-09-09T08:18:00,8,7,Alta,Resuelto,Ticket de prueba #56,21
57,TKT-000057,2024-09-18T20:33:00,2024-09-18T22:33:00,9,3,Baja,Resuelto,Ticket de prueba #57,2
58,TKT-000058,2023-05-18T08:07:00,2023-05-23T02:07:00,2,6,Media,Resuelto,Ticket de prueba #58,114
59,TKT-000059,2023-10-06T09:38:00,2023-10-07T12:38:00,6,2,Alta,Resuelto,Ticket de prueba #59,27
60,TKT-000060,2024-06-01T15:16:00,2024-06-06T11:16:00,1,1,Crítica,Resuelto,Ticket de prueba #60,116
61,TKT-000061,2023-10-11T01:00:00,2023-10-12T20:00:00,3,6,Alta,Resuelto,Ticket de prueba #61,43
62,TKT-000062,2023-06-15T23:28:00,2023-06-18T22:28:00,7,5,Baja,Resuelto,Ticket de prueba #62,71
63,TKT-000063,2023-04-25T02:56:00,2023-04-28T19:56:00,3,5,Baja,Resuelto,Ticket de prueba #63,89
64,TKT-000064,2024-01-14T18:35:00,2024-01-15T13:35:00,7,2,Baja,Resuelto,Ticket de prueba #64,19
65,TKT-000065,2023-11-12T11:57:00,2023-11-17T11:57:00,1,3,Media,Resuelto,Ticket de prueba #65,120
66,TKT-000066,2024-11-29T07:42:00,2024-11-29T21:42:00,6,7,Crítica,Resuelto,Ticket de prueba #66,14
67,TKT-000067,2024-09-27T23:09:00,2024-10-02T22:09:00,4,7,Media,Resuelto,Ticket de prueba #67,119
68,TKT-000068,2023-07-01T13:01:00,2023-07-02T12:01:00,6,7,Crítica,Resuelto,Ticket de prueba #68,23
69,TKT-000069,2024-11-16T23:51:00,2024-11-18T07:51:00,5,2,Baja,Resuelto,Ticket de prueba #69,32
70,TKT-000070,2024-01-27T01:54:00,2024-01-29T14:54:00,4,2,Crítica,Resuelto,Ticket de prueba #70,61
